1,0.19464,0.45,0.21946,0.42
2,0.19214,0.48,0.21505,0.44
3,0.19025,0.47,0.21299,0.47
4,0.18706,0.55,0.21345,0.49
5,0.18464,0.53,0.21166,0.48
6,0.18173,0.56,0.20483,0.54
7,0.17854,0.60,0.20995,0.58
8,0.17706,0.63,0.20448,0.56
9,0.17604,0.68,0.20437,0.64
10,0.17656,0.66,0.20334,0.69
11,0.17207,0.70,0.19654,0.70
12,0.17201,0.73,0.19602,0.70
13,0.17017,0.72,0.19501,0.71
14,0.16835,0.78,0.19212,0.75
15,0.16810,0.74,0.19294,0.72
16,0.16729,0.75,0.19196,0.69
17,0.16618,0.75,0.18941,0.70
18,0.16526,0.77,0.19002,0.72
19,0.16550,0.81,0.18742,0.73
20,0.16432,0.82,0.18653,0.75
21,0.16638,0.76,0.18432,0.75
22,0.16377,0.77,0.18210,0.72
23,0.16242,0.75,0.18015,0.78
24,0.16115,0.78,0.17902,0.78
25,0.16112,0.79,0.17839,0.73
26,0.16193,0.80,0.17821,0.78
27,0.16026,0.82,0.17531,0.90
28,0.15949,0.80,0.17421,0.91
29,0.15902,0.81,0.17126,0.87
30,0.15873,0.76,0.17074,0.69
31,0.15874,0.78,0.17025,0.73
32,0.15603,0.79,0.16937,0.73
33,0.15493,0.77,0.16985,0.75
34,0.15468,0.82,0.16903,0.76
35,0.15431,0.85,0.16835,0.73
36,0.15345,0.80,0.16752,0.80
37,0.15294,0.81,0.16689,0.80
38,0.15369,0.83,0.16573,0.75
39,0.15021,0.76,0.16501,0.78
40,0.15001,0.78,0.16463,0.60
41,0.14881,0.79,0.16251,0.73
42,0.14827,0.79,0.16019,0.72
43,0.14739,0.81,0.15982,0.59
44,0.14554,0.88,0.15821,0.80
45,0.14521,0.83,0.15724,0.80
46,0.14436,0.83,0.15522,0.78
47,0.14343,0.82,0.15152,0.79
48,0.14214,0.79,0.15015,0.80
49,0.14196,0.80,0.14952,0.76
50,0.14042,0.80,0.14872,0.78
